K = 2
0.0001 0.000475584 292
0.0006 0.000535459 383
0.0011 0.000519666 351
0.0016 0.000494794 318
0.0021 0.00049795 287
0.0026 0.000547122 312
0.0031 0.000598144 273
0.0036 0.000682834 219
0.0041 0.000779532 187
0.0046 0.00112792 167

K = 3
0.0001 0.000390915 265
0.0006 0.000406574 307
0.0011 0.000394142 361
0.0016 0.000409514 325
0.0021 0.000438436 300
0.0026 0.000490607 347
0.0031 0.000538408 248
0.0036 0.000598324 236
0.0041 0.00069771 183
0.0046 0.00108349 159

K = 4
0.0001 0.000362984 256
0.0006 0.000347762 246
0.0011 0.000354686 236
0.0016 0.000376072 250
0.0021 0.000411591 255
0.0026 0.00045482 257
0.0031 0.000503859 217
0.0036 0.000560884 206
0.0041 0.00066861 182
0.0046 0.00108349 160

K = 5
0.0001 0.000333657 224
0.0006 0.000326515 233
0.0011 0.000342644 255
0.0016 0.000363801 245
0.0021 0.000391521 266
0.0026 0.000437828 253
0.0031 0.000485701 235
0.0036 0.000547955 207
0.0041 0.000661394 180
0.0046 0.00108349 162

K = 6
0.0001 0.000322688 225
0.0006 0.00032187 200
0.0011 0.000332031 214
0.0016 0.00035433 266
0.0021 0.000383379 233
0.0026 0.000423279 244
0.0031 0.000475291 218
0.0036 0.000541512 181
0.0041 0.000657846 168
0.0046 0.00108349 159

K = 7
0.0001 0.000319318 187
0.0006 0.000317603 202
0.0011 0.000328366 227
0.0016 0.000349694 229
0.0021 0.000377602 251
0.0026 0.000416211 226
0.0031 0.000469786 209
0.0036 0.000539346 182
0.0041 0.000657735 160
0.0046 0.00108349 161

K = 8
0.0001 0.000318467 198
0.0006 0.00031457 193
0.0011 0.000325155 215
0.0016 0.000346106 216
0.0021 0.000374444 236
0.0026 0.000412042 195
0.0031 0.0004661 218
0.0036 0.000538896 187
0.0041 0.000657735 161
0.0046 0.00108349 162

K = 9
0.0001 0.000317897 192
0.0006 0.000313422 192
0.0011 0.000323671 209
0.0016 0.000343249 242
0.0021 0.000371817 226
0.0026 0.000409553 185
0.0031 0.000464861 194
0.0036 0.000538658 185
0.0041 0.000657735 163
0.0046 0.00108349 162

K = 10
0.0001 0.000317694 203
0.0006 0.000312869 185
0.0011 0.000322463 201
0.0016 0.00034181 216
0.0021 0.000369797 192
0.0026 0.000408873 197
0.0031 0.000464491 188
0.0036 0.000538524 181
0.0041 0.000657735 180
0.0046 0.00108349 163

