K = 2
0.00481889 0.000400558 210
0.00533442 0.000500346 260
0.00605334 0.000600031 160
0.00717153 0.000700063 137
0.00766718 0.00080088 88
0.00794248 0.000900626 113
0.00829723 0.00100012 57
0.00850344 0.00110005 55
0.00864021 0.00120004 71
0.00877496 0.00129999 52
0.00887627 0.00139993 45
0.00894976 0.00150095 54
0.00900915 0.00160012 42
0.00901743 0.00161518 40
0.00901743 0.00161518 40
0.00901743 0.00161518 40
K = 3
0.00561907 0.000400587 4420
0.00646962 0.000500442 308
0.0071504 0.000600856 182
0.00767133 0.00070087 114
0.00795057 0.000800805 107
0.00820451 0.000900938 94
0.00839836 0.00100033 86
0.00854817 0.00110042 90
0.00867822 0.00120042 79
0.0087854 0.00130032 73
0.00887632 0.00139999 46
0.00894912 0.00149997 51
0.00900907 0.00159997 43
0.00901743 0.00161518 40
0.00901743 0.00161518 40
0.00901743 0.00161518 40
K = 4
0.00467149 0.000300923 351303
0.00598134 0.000400981 4805
0.00678215 0.000500695 300
0.0074359 0.00060074 147
0.00779085 0.000700993 116
0.00803475 0.000800975 120
0.00823906 0.000900942 104
0.00842998 0.00100082 87
0.00856926 0.00110068 79
0.00868523 0.00120043 77
0.00878643 0.00130073 71
0.00887622 0.00139991 42
0.00894912 0.00149997 52
0.00900907 0.00159997 44
0.00901743 0.00161518 41
0.00901743 0.00161518 41
0.00901743 0.00161518 40
K = 5
0.00490225 0.000300986 517732
0.00616424 0.000400977 1583
0.00695328 0.000500994 231
0.00745668 0.000600647 148
0.0078048 0.00070089 136
0.00805415 0.000800695 110
0.0082561 0.000900955 94
0.00842994 0.00100077 80
0.00856915 0.00110054 81∂
0.00868532 0.00120079 81
0.00878673 0.00130087 69
0.00887626 0.00139993 41
0.00894912 0.00149997 52
0.00900907 0.00159997 43
0.00901743 0.00161518 41
0.00901743 0.00161518 40
0.00901743 0.00161518 41
K = 6
0.00507589 0.00030099 7619
0.00631802 0.000400887 1134
0.0069944 0.00050075 406
0.00746693 0.000600845 161
0.0078077 0.000700939 129
0.00805433 0.000800774 89
0.00825656 0.000900942 94
0.00843003 0.00100091 75
0.00856962 0.00110071 77
0.00868513 0.00120054 79
0.00878673 0.00130087 70
0.00887624 0.00139993 41
0.00894914 0.00149999 43
0.00900915 0.00160012 50
0.00901743 0.00161518 42
0.00901743 0.00161518 41
0.00901743 0.00161518 40
K = 7
0.00520748 0.000300992 6627
0.00636984 0.000400996 1061
0.00701733 0.000500748 338
0.00747324 0.000600697 156
0.0078077 0.000700976 112
0.00805496 0.000800978 94
0.00825627 0.000900805 83
0.00843003 0.00100091 77
0.00856962 0.00110071 75
0.00868513 0.00120054 80
0.00878673 0.00130087 75
0.00887617 0.00139986 42
0.00894914 0.0015 45
0.00900915 0.00160012 43
0.00901743 0.00161518 41
0.00901743 0.00161518 41
0.00901743 0.00161518 40
K = 8
0.00531707 0.000300946 3927
0.00641049 0.000400766 826
0.007031 0.000500962 265
0.0074779 0.000600983 137
0.00780794 0.000700926 109
0.00805449 0.000800719 95
0.00825656 0.000900942 83
0.00843003 0.00100091 74
0.00856969 0.0011007 76
0.00868482 0.0012 78
0.00878673 0.00130087 71
0.00887631 0.00139998 41
0.00894904 0.00149998 45
0.00900915 0.00160012 45
0.00901743 0.00161518 40
0.00901743 0.00161518 40
0.00901743 0.00161518 40
K = 9
0.00538714 0.000300984 3908
0.0064247 0.000400974 705
0.00703543 0.000500891 261
0.00747842 0.000600908 160
0.00780736 0.000700836 118
0.00805432 0.000800939 92
0.00825627 0.000900805 83
0.00843003 0.00100091 83
0.00856962 0.00110071 75
0.0086848 0.0012 81
0.00878673 0.00130087 70
0.00887623 0.00139989 43
0.00894891 0.00149969 43
0.00900915 0.00160012 43
0.00901743 0.00161518 40
0.00901743 0.00161518 41
0.00901743 0.00161518 40
K = 10
0.00545647 0.000300973 2195
0.00643123 0.000400242 672
0.00703619 0.00050088 298
0.00747929 0.000600988 132
0.00780739 0.000700948 117
0.00805397 0.000800988 100
0.00825627 0.000900805 81
0.00843003 0.00100091 76
0.00856962 0.00110071 75
0.00868513 0.00120054 86
0.00878673 0.00130087 72
0.00887632 0.00139999 42
0.00894911 0.00149996 45
0.00900915 0.00160012 43
0.00901743 0.00161518 41
0.00901743 0.00161518 41
0.00901743 0.00161518 40
