K = 2
0.0001 0.00048829 94
0.0011 0.00036418 155
0.0021 0.000294668 234
0.0031 0.000330359 325
0.0041 0.000395922 398
0.0051 0.000473264 345
0.0061 0.000581844 252
0.0071 0.000760187 126
0.0081 0.00107275 111
0.0091 0.00126011 66
0.0101 0.00191575 54

K = 3
0.0001 0.00039343 108
0.0011 0.000272515 180
0.0021 0.000226073 655
0.0031 0.00025035 3599
0.0041 0.000309896 2970
0.0051 0.000361866 993
0.0061 0.000444595 245
0.0071 0.000603766 124
0.0081 0.000787679 84
0.0091 0.00104153 54
0.0101 0.00160237 52

K = 4
0.0001 0.000305005 82
0.0011 0.000237173 304
0.0021 0.000193136 2082
0.0031 0.000206541 17639
0.0041 0.000255187 16946
0.0051 0.000313737 1826
0.0061 0.000393851 372
0.0071 0.000527192 139
0.0081 0.0007024 100
0.0091 0.00097808 54
0.0101 0.00147967 49

K = 5
0.0001 0.000276858 80
0.0011 0.00020798 371
0.0021 0.00017423 5581
0.0031 0.000186174 53144
0.0041 0.000225889 32345
0.0051 0.000282418 4886
0.0061 0.000355902 344
0.0071 0.000480276 112
0.0081 0.000654373 95
0.0091 0.000921096 52
0.0101 0.00147967 46

K = 6
0.0001 0.000258287 72
0.0011 0.000189995 399
0.0021 0.000157331 7951
0.0031 0.000171799 96686
0.0041 0.000206019 48732
0.0051 0.000262043 7684
0.0061 0.000333458 393
0.0071 0.000456091 104
0.0081 0.000632793 76
0.0091 0.000914771 51
0.0101 0.00147967 45

K = 7
0.0001 0.000248824 52
0.0011 0.000178185 391
0.0021 0.000148577 8069
0.0031 0.000161119 102652
0.0041 0.000193304 48046
0.0051 0.000247145 5575
0.0061 0.000322918 409
0.0071 0.000443507 110
0.0081 0.00061535 73
0.0091 0.000912726 52
0.0101 0.00147967 46

K = 8
0.0001 0.000246718 68
0.0011 0.00017161 437
0.0021 0.000142862 13456
0.0031 0.000151947 66391
0.0041 0.000185002 36464
0.0051 0.000238566 7593
0.0061 0.000313517 395
0.0071 0.000429819 96
0.0081 0.00060215 54
0.0091 0.000912726 50
0.0101 0.00147967 45

K = 9
0.0001 0.000245286 57
0.0011 0.000165212 337
0.0021 0.000136723 4252
0.0031 0.000146779 54388
0.0041 0.000177368 22660
0.0051 0.000230473 5164
0.0061 0.000307364 367
0.0071 0.000424333 106
0.0081 0.00060185 54
0.0091 0.000912726 50
0.0101 0.00147967 45

K = 10
0.0001 0.000244979 52
0.0011 0.000161119 239
0.0021 0.000133725 5950
0.0031 0.000143148 40797
0.0041 0.000172068 10968
0.0051 0.00022577 4915
0.0061 0.000302908 404
0.0071 0.000417862 76
0.0081 0.000601693 54
0.0091 0.000912726 49
0.0101 0.00147967 45

