K = 2
0.0009 0.00148982 17
0.001 0.00115293 17
0.0011 0.00119124 25
0.0012 0.00123129 53
0.0013 0.00115682 45
0.0014 0.00109173 136
0.0015 0.00103599 95
0.0016 0.000989623 40
0.0017 0.00095262 24
0.0018 0.000924982 23
0.0019 0.00090671 60
0.002 0.000897803 26
0.0021 0.000898261 39
0.0022 0.000908085 27
0.0023 0.000927274 40
0.0024 0.000955829 90
0.0025 0.000993749 132
0.0026 0.00102312 25
0.0027 0.00096063 66
0.0028 0.000829111 75
0.0029 0.000889932 77
0.003 0.00105175 24
0.0031 0.000937789 26
0.0032 0.00102861 65
0.0033 0.00103402 77
0.0034 0.000992428 166
0.0035 0.000946224 108
0.0036 0.00091317 67
0.0037 0.000893267 67
0.0038 0.000886515 40
0.0039 0.000892914 28
0.004 0.000912465 140
0.0041 0.000918922 31
0.0042 0.000927122 109
0.0043 0.000922735 328
0.0044 0.000911879 56
0.0045 0.000903763 31
0.0046 0.000898388 43
0.0047 0.000895753 63
0.0048 0.000895859 27
0.0049 0.000898705 111
0.005 0.000904292 78
0.0051 0.000912619 58
0.0052 0.000923686 121
0.0053 0.000937494 41
0.0054 0.000954042 104
0.0055 0.00097333 76
0.0056 0.000995359 83
0.0057 0.00100303 76
0.0058 0.00101638 101
0.0059 0.00103728 56
0.006 0.00106571 25
0.0061 0.00110169 46
0.0062 0.00107808 24
0.0063 0.0010542 91
0.0064 0.00114714 25
0.0065 0.0012837 71
0.0066 0.00126334 25
0.0067 0.00123896 48
0.0068 0.0012264 39
0.0069 0.00122565 68
0.007 0.00123318 24
0.0071 0.00122613 24
0.0072 0.00122143 125
0.0073 0.0012191 92
0.0074 0.00121913 24
0.0075 0.00122153 101
0.0076 0.00122629 32
0.0077 0.00123341 72
0.0078 0.0012429 25
0.0079 0.00125475 71
0.008 0.00126896 24
0.0081 0.00128554 75
0.0082 0.00130448 91
0.0083 0.00132579 81
0.0084 0.00134946 65
0.0085 0.00137549 42
0.0086 0.00140389 22
0.0087 0.00143464 72
0.0088 0.00146777 24
0.0089 0.00150325 38
0.009 0.0015411 62
0.0091 0.00158132 21
0.0092 0.0016239 32
0.0093 0.00166884 73
0.0094 0.00171614 20
0.0095 0.00176581 19
0.0096 0.00181784 135
0.0097 0.00187223 99
0.0098 0.00192899 21
0.0099 0.00198812 119
0.01 0.0020496 20
0.0101 0.00211345 58
0.0102 0.00217966 35
0.0103 0.00224824 72
0.0104 0.00231918 128
0.0105 0.00239248 52
0.0106 0.00246815 22
0.0107 0.00254618 60
0.0108 0.00262658 22
0.0109 0.00270452 21
0.011 0.00275403 22
0.0111 0.00280885 22
0.0112 0.00286897 21
0.0113 0.0029344 22
0.0114 0.00300513 58
0.0115 0.00308116 39
0.0116 0.0031625 36
0.0117 0.00324914 22
0.0118 0.00334108 104
0.0119 0.00343833 116
0.012 0.00354089 16
0.0121 0.00364875 16
0.0122 0.00376191 16
0.0123 0.00388038 16
0.0124 0.00400415 17
0.0125 0.00413322 17
0.0126 0.0042676 17
0.0127 0.00440729 16
0.0128 0.00455227 16
0.0129 0.00470256 16
0.013 0.00485816 17
0.0131 0.00501906 17
0.0132 0.00518526 16
0.0133 0.00535677 16
0.0134 0.00553359 17

K = 3
0.0009 0.00148982 17
0.001 0.00115293 16
0.0011 0.00107626 16
0.0012 0.00101573 17
0.0013 0.000963379 22
0.0014 0.000919193 37
0.0015 0.000883177 129
0.0016 0.00085533 83
0.0017 0.000835652 107
0.0018 0.000824144 25
0.0019 0.000819947 79
0.002 0.00078915 112
0.0021 0.00076526 22
0.0022 0.000748275 80
0.0023 0.000738195 40
0.0024 0.000735022 43
0.0025 0.000738754 40
0.0026 0.000749392 32
0.0027 0.000766936 26
0.0028 0.000766689 89
0.0029 0.000762838 210
0.003 0.000761148 43
0.0031 0.000745753 76
0.0032 0.000732609 157
0.0033 0.000723906 121
0.0034 0.000719645 127
0.0035 0.000719826 38
0.0036 0.000724448 42
0.0037 0.000733511 80
0.0038 0.000746192 30
0.0039 0.000747853 26
0.004 0.000750926 109
0.0041 0.00075541 51
0.0042 0.000749367 89
0.0043 0.000748944 72
0.0044 0.000755146 29
0.0045 0.000767973 81
0.0046 0.000782221 39
0.0047 0.000776595 34
0.0048 0.000773672 119
0.0049 0.000773452 27
0.005 0.000775933 89
0.0051 0.000781117 26
0.0052 0.000789004 99
0.0053 0.000799592 112
0.0054 0.000812884 56
0.0055 0.000828877 75
0.0056 0.000847573 54
0.0057 0.000868971 28
0.0058 0.000876171 123
0.0059 0.000881212 25
0.006 0.000887264 25
0.0061 0.000894329 39
0.0062 0.000902406 156
0.0063 0.000911494 77
0.0064 0.000921595 26
0.0065 0.000932708 23
0.0066 0.000944833 43
0.0067 0.00095797 169
0.0068 0.000972119 24
0.0069 0.000987281 25
0.007 0.00100345 25
0.0071 0.00101123 109
0.0072 0.00101662 26
0.0073 0.00102413 121
0.0074 0.00103376 138
0.0075 0.00104551 46
0.0076 0.00105938 27
0.0077 0.00107537 242
0.0078 0.00109349 23
0.0079 0.00111373 93
0.008 0.00113609 64
0.0081 0.00116057 101
0.0082 0.00118717 78
0.0083 0.00121589 22
0.0084 0.00124673 23
0.0085 0.0012797 23
0.0086 0.00131479 115
0.0087 0.00135048 23
0.0088 0.00138015 23
0.0089 0.00141211 53
0.009 0.00144636 28
0.0091 0.00148291 78
0.0092 0.00152175 33
0.0093 0.00156289 29
0.0094 0.00160632 61
0.0095 0.00165204 63
0.0096 0.00170006 27
0.0097 0.00175038 25
0.0098 0.00180298 55
0.0099 0.00185788 75
0.01 0.00191508 87
0.0101 0.00197457 25
0.0102 0.00203635 105
0.0103 0.00210043 75
0.0104 0.0021668 23
0.0105 0.00223547 216
0.0106 0.00230642 27
0.0107 0.00237968 59
0.0108 0.00245523 25
0.0109 0.00253307 95
0.011 0.0026132 24
0.0111 0.00269563 74
0.0112 0.00278036 17
0.0113 0.00286737 17
0.0114 0.00295668 16
0.0115 0.00304829 16
0.0116 0.00314219 16
0.0117 0.00323838 17
0.0118 0.00333687 17
0.0119 0.00343765 16
0.012 0.00354089 17
0.0121 0.00364875 18
0.0122 0.00376191 18
0.0123 0.00388038 17
0.0124 0.00400415 17
0.0125 0.00413322 16
0.0126 0.0042676 16
0.0127 0.00440729 17
0.0128 0.00455227 16
0.0129 0.00470256 17
0.013 0.00485816 18
0.0131 0.00501906 18
0.0132 0.00518526 18
0.0133 0.00535677 16
0.0134 0.00553359 16

K = 4
0.0009 0.00148982 18
0.001 0.00115293 17
0.0011 0.00107626 16
0.0012 0.00101573 17
0.0013 0.000962795 17
0.0014 0.000915231 17
0.0015 0.000872829 48
0.0016 0.000835588 40
0.0017 0.000803508 25
0.0018 0.00077659 50
0.0019 0.000754833 28
0.002 0.000738237 25
0.0021 0.000726802 97
0.0022 0.000720528 85
0.0023 0.000719416 31
0.0024 0.000716516 177
0.0025 0.000704621 27
0.0026 0.000694886 239
0.0027 0.00068731 24
0.0028 0.000681894 34
0.0029 0.000678637 66
0.003 0.00067754 64
0.0031 0.000678602 100
0.0032 0.000681823 148
0.0033 0.000687204 125
0.0034 0.000694745 25
0.0035 0.000696634 82
0.0036 0.000691393 40
0.0037 0.000688851 28
0.0038 0.000688936 79
0.0039 0.000690208 37
0.004 0.000689257 105
0.0041 0.000689583 60
0.0042 0.000691185 104
0.0043 0.000694062 121
0.0044 0.000698215 26
0.0045 0.000703644 121
0.0046 0.000709844 49
0.0047 0.000708758 77
0.0048 0.000710227 43
0.0049 0.000714252 69
0.005 0.000720832 174
0.0051 0.000729967 139
0.0052 0.000741658 26
0.0053 0.000755904 92
0.0054 0.000758758 27
0.0055 0.000760371 27
0.0056 0.000762995 25
0.0057 0.000766629 28
0.0058 0.000771273 78
0.0059 0.000776927 26
0.006 0.000783592 26
0.0061 0.000791267 72
0.0062 0.000799952 62
0.0063 0.000809648 103
0.0064 0.000820354 138
0.0065 0.00083207 45
0.0066 0.000844796 144
0.0067 0.000858533 28
0.0068 0.00087328 25
0.0069 0.000889037 27
0.007 0.000905804 25
0.0071 0.000923582 81
0.0072 0.00094237 156
0.0073 0.000962168 92
0.0074 0.000982977 84
0.0075 0.00100479 25
0.0076 0.00101605 163
0.0077 0.00102936 26
0.0078 0.0010447 82
0.0079 0.00106208 23
0.008 0.00108151 26
0.0081 0.00110297 60
0.0082 0.00112648 151
0.0083 0.00115202 95
0.0084 0.0011796 17
0.0085 0.00120923 17
0.0086 0.00124089 16
0.0087 0.0012746 16
0.0088 0.00131035 16
0.0089 0.00134813 17
0.009 0.00138796 17
0.0091 0.00142982 16
0.0092 0.00147373 17
0.0093 0.00151968 16
0.0094 0.00156766 17
0.0095 0.00161769 16
0.0096 0.00166976 16
0.0097 0.00172387 18
0.0098 0.00178002 16
0.0099 0.0018382 18
0.01 0.00189843 17
0.0101 0.0019607 16
0.0102 0.00202501 17
0.0103 0.00209136 16
0.0104 0.00215975 16
0.0105 0.00223018 16
0.0106 0.00230265 16
0.0107 0.00237716 18
0.0108 0.00245371 16
0.0109 0.0025323 16
0.011 0.00261293 16
0.0111 0.00269561 17
0.0112 0.00278036 16
0.0113 0.00286737 16
0.0114 0.00295668 16
0.0115 0.00304829 16
0.0116 0.00314219 16
0.0117 0.00323838 16
0.0118 0.00333687 16
0.0119 0.00343765 17
0.012 0.00354089 16
0.0121 0.00364875 16
0.0122 0.00376191 17
0.0123 0.00388038 17
0.0124 0.00400415 17
0.0125 0.00413322 16
0.0126 0.0042676 16
0.0127 0.00440729 16
0.0128 0.00455227 17
0.0129 0.00470256 16
0.013 0.00485816 16
0.0131 0.00501906 16
0.0132 0.00518526 16
0.0133 0.00535677 16
0.0134 0.00553359 18

K = 5
0.0009 0.00148982 17
0.001 0.00115293 16
0.0011 0.00107626 16
0.0012 0.00101573 17
0.0013 0.000962795 16
0.0014 0.000915231 16
0.0015 0.000872797 17
0.0016 0.000835397 16
0.0017 0.000803025 16
0.0018 0.000775682 17
0.0019 0.000753368 62
0.002 0.000736083 37
0.0021 0.000722789 41
0.0022 0.000709659 52
0.0023 0.000698341 117
0.0024 0.000688837 119
0.0025 0.000681147 26
0.0026 0.00067527 175
0.0027 0.000671206 176
0.0028 0.000668955 84
0.0029 0.000668518 37
0.003 0.000668672 250
0.0031 0.000665972 26
0.0032 0.000664089 119
0.0033 0.000663501 45
0.0034 0.000664122 111
0.0035 0.000663809 25
0.0036 0.000664241 63
0.0037 0.000665419 339
0.0038 0.000667342 35
0.0039 0.00067001 49
0.004 0.000672827 25
0.0041 0.000671828 63
0.0042 0.000672053 50
0.0043 0.000673503 32
0.0044 0.000676177 75
0.0045 0.000680076 213
0.0046 0.000685199 35
0.0047 0.000691547 217
0.0048 0.000696474 55
0.0049 0.000699966 92
0.005 0.000704018 132
0.0051 0.000706327 63
0.0052 0.000708335 27
0.0053 0.00071124 154
0.0054 0.000715042 41
0.0055 0.000719742 24
0.0056 0.000725339 93
0.0057 0.000731833 98
0.0058 0.000739224 133
0.0059 0.000747513 26
0.006 0.000756699 70
0.0061 0.000766783 39
0.0062 0.000777764 70
0.0063 0.000789373 77
0.0064 0.000798469 31
0.0065 0.000808512 132
0.0066 0.000819505 126
0.0067 0.000831446 29
0.0068 0.000844336 26
0.0069 0.000858175 26
0.007 0.000872963 135
0.0071 0.000888699 96
0.0072 0.000905384 45
0.0073 0.000923017 41
0.0074 0.0009416 33
0.0075 0.000961131 66
0.0076 0.000981611 101
0.0077 0.00100304 17
0.0078 0.00102542 17
0.0079 0.00104874 16
0.008 0.00107302 16
0.0081 0.00109824 17
0.0082 0.00112441 17
0.0083 0.00115153 16
0.0084 0.0011796 17
0.0085 0.00120923 16
0.0086 0.00124089 17
0.0087 0.0012746 16
0.0088 0.00131035 16
0.0089 0.00134813 17
0.009 0.00138796 17
0.0091 0.00142982 17
0.0092 0.00147373 16
0.0093 0.00151968 18
0.0094 0.00156766 16
0.0095 0.00161769 17
0.0096 0.00166976 16
0.0097 0.00172387 16
0.0098 0.00178002 16
0.0099 0.0018382 16
0.01 0.00189843 16
0.0101 0.0019607 16
0.0102 0.00202501 16
0.0103 0.00209136 17
0.0104 0.00215975 16
0.0105 0.00223018 16
0.0106 0.00230265 16
0.0107 0.00237716 16
0.0108 0.00245371 16
0.0109 0.0025323 16
0.011 0.00261293 16
0.0111 0.00269561 16
0.0112 0.00278036 16
0.0113 0.00286737 18
