K = 2
0.00194384 0.00028 421
0.00199775 0.00029 560
0.00203368 0.0003 572
0.00206264 0.00031 505
0.00298657 0.00032 519
0.00308409 0.00033 665
0.00314051 0.00034 519
0.00318474 0.00035 440
0.00322236 0.00036 365
0.00358373 0.00037 449
0.00390075 0.00038 430
0.00444065 0.00039 732
0.00468951 0.0004 365
0.00486788 0.00041 314
0.00501462 0.00042 451
0.00514225 0.00043 390
0.00525674 0.00044 1086
0.00536145 0.00045 654
0.00545854 0.00046 433
0.00554946 0.00047 368
0.00563526 0.00048 567
0.00572488 0.00049 476
0.00585667 0.0005 538
0.00596952 0.00051 399
0.00606981 0.00052 519
0.00616099 0.00053 318
0.00624517 0.00054 596
0.00632374 0.00055 372
0.0063977 0.00056 414
0.00646777 0.00057 325
0.00653451 0.00058 661
0.00659836 0.00059 380
0.00665966 0.0006 389
0.00671869 0.00061 550
0.00677569 0.00062 476
0.00683085 0.00063 492
0.00688435 0.00064 374
0.00693632 0.00065 498
0.00698688 0.00066 368
0.00703615 0.00067 310
0.00708423 0.00068 362
0.00713118 0.00069 290
0.00717709 0.0007 279
0.00722203 0.00071 600
0.00726605 0.00072 420
0.00731264 0.00073 197
0.00735836 0.00074 563
0.00740298 0.00075 465
0.00744656 0.00076 622
0.00749519 0.00077 427
0.00754655 0.00078 400
0.00759579 0.00079 350
0.00764317 0.0008 326
0.00768886 0.00081 903
0.00773305 0.00082 383
0.00777587 0.00083 1162
0.00781744 0.00084 1057
0.00785787 0.00085 1184
0.00789724 0.00086 416
0.00793564 0.00087 435
0.00827591 0.00088 206
0.00908669 0.00089 168
0.00912015 0.0009 195
0.00914427 0.00091 202
0.00916415 0.00092 172
0.00918146 0.00093 317
0.00919699 0.00094 369
0.00921121 0.00095 575
0.00922439 0.00096 377
0.00923674 0.00097 277
0.00924839 0.00098 235
0.00925946 0.00099 231
0.00927002 0.001 654
0.00928013 0.00101 536
0.00928985 0.00102 473
0.0102457 0.00103 489
0.0102841 0.00104 234
0.0103118 0.00105 154
0.0103346 0.00106 111
0.0103544 0.00107 117
0.0103722 0.00108 242
0.0103885 0.00109 119
0.0104036 0.0011 125
0.0104178 0.00111 412
0.0104311 0.00112 696
0.0104438 0.00113 549
0.0104559 0.00114 119
0.0104674 0.00115 618
0.0104786 0.00116 81
0.0104893 0.00117 78
0.0104997 0.00118 76
0.0105097 0.00119 77
0.0105195 0.0012 74
0.0105289 0.00121 75
0.0105382 0.00122 81
0.0105472 0.00123 75
0.0105559 0.00124 79
0.0105645 0.00125 79
0.0105729 0.00126 75
0.0105811 0.00127 81
0.0105892 0.00128 82
0.0105971 0.00129 80
0.0106048 0.0013 81
0.0106124 0.00131 81
0.0106199 0.00132 80
0.0106272 0.00133 84
0.0106345 0.00134 80
0.0106416 0.00135 80
0.0106486 0.00136 84
